"Gene.name","baseMean","log2FoldChange","pvalue","padj","Control_1","Control_2","Activated_1","Activated_2"
"Mum1",31.9907689784726,-0.810998347029628,0.169013000988768,0.344042059028452,41.235,40.261,24.658,21.809
"1700001G11Rik",2.02764767572486,-0.811274215255475,0.715186249995036,NA,3.436,1.75,1.027,1.896
"Lama4",2.02764767572486,-0.811274215255475,0.715186249995036,NA,3.436,1.75,1.027,1.896
"Me1",2.02764767572486,-0.811274215255475,0.715186249995036,NA,3.436,1.75,1.027,1.896
"Fyco1",702.312750304236,-0.811968178070876,2.60345851817975e-06,2.9439734997329e-05,916.326,873.489,530.145,489.291
"Slc9a6",169.616747570835,-0.811984775801716,0.00610161266983318,0.0277492737415209,217.627,214.434,145.893,100.513
"C330013E15Rik",4.05529535144972,-0.812054666696758,0.614281615053159,NA,6.872,3.501,2.055,3.793
"0610007C21Rik",151.30480057004,-0.81228862661687,0.00646377133160164,0.0291030901227101,171.811,213.558,108.906,110.944
"Wdr85",68.4261018859304,-0.812393052601854,0.0504536116851295,0.146022969646008,82.469,91.9,46.234,53.101
"Gm14057",16.3327241273885,-0.81288468605981,0.317582499176188,NA,20.617,21.006,12.329,11.379
"Cds2",379.331594030442,-0.812908111443109,7.86373140243134e-05,0.000653782058960389,469.617,497.136,278.429,272.145
"Zfp169",194.528178407652,-0.813207704026571,0.00195442443104167,0.0106500401717678,250.844,245.067,142.81,139.391
"Ephb2",5.38847001500135,-0.81321563230267,0.574638177888004,NA,10.309,3.501,2.055,5.689
"Adarb1",3.41659370007131,-0.813610853522807,0.638905927359611,NA,3.436,5.251,3.082,1.896
"Gm7854",3.41659370007131,-0.813610853522807,0.638905927359611,NA,3.436,5.251,3.082,1.896
"Kcnh3",3.41659370007131,-0.813610853522807,0.638905927359611,NA,3.436,5.251,3.082,1.896
"Mccc1",77.3335434775303,-0.814249702409537,0.0473772455229814,0.13886965640217,116.832,80.522,62.672,49.308
"Kdm4d",16.5065921045678,-0.814279379559965,0.369201824595566,NA,34.362,7.877,13.356,10.431
"E130311K13Rik",36.7567212311528,-0.814461091860907,0.140247846014628,0.30277100754812,44.671,49.013,27.74,25.602
"Zmym6",220.428446380981,-0.814668608444168,0.00138989633343062,0.00796653279367934,286.352,275.7,173.633,146.029
"Sh2b2",162.26376933911,-0.814709092768389,0.00415404047296032,0.0200806427682191,207.319,206.556,110.961,124.219
"Tmem14a",43.9428612995585,-0.816389773130222,0.118345236253141,0.267815739362917,59.561,52.514,39.042,24.654
"Snhg7",19.9437829740544,-0.816775358596666,0.278904367220103,0.478746792916397,26.344,24.507,18.493,10.431
"Dusp19",35.9155313060104,-0.817571101371022,0.146121339765344,0.311233282280371,43.525,48.138,22.603,29.395
"1700084E18Rik",0.694473012173226,-0.817769307687469,0.843189518435174,NA,0,1.75,1.027,0
"AY358078",0.694473012173226,-0.817769307687469,0.843189518435174,NA,0,1.75,1.027,0
"Bdkrb2",0.694473012173226,-0.817769307687469,0.843189518435174,NA,0,1.75,1.027,0
"Bfsp1",0.694473012173226,-0.817769307687469,0.843189518435174,NA,0,1.75,1.027,0
"Cbs",0.694473012173226,-0.817769307687469,0.843189518435174,NA,0,1.75,1.027,0
"Cfd",0.694473012173226,-0.817769307687469,0.843189518435174,NA,0,1.75,1.027,0
"Chst5",0.694473012173226,-0.817769307687469,0.843189518435174,NA,0,1.75,1.027,0
"Col8a2",0.694473012173226,-0.817769307687469,0.843189518435174,NA,0,1.75,1.027,0
"Fam83a",0.694473012173226,-0.817769307687469,0.843189518435174,NA,0,1.75,1.027,0
"Gckr",0.694473012173226,-0.817769307687469,0.843189518435174,NA,0,1.75,1.027,0
"Gnat2",0.694473012173226,-0.817769307687469,0.843189518435174,NA,0,1.75,1.027,0
"Hoxa9",0.694473012173226,-0.817769307687469,0.843189518435174,NA,0,1.75,1.027,0
"Lamc2",0.694473012173226,-0.817769307687469,0.843189518435174,NA,0,1.75,1.027,0
"Lgals2",0.694473012173226,-0.817769307687469,0.843189518435174,NA,0,1.75,1.027,0
"Lrrn4cl",0.694473012173226,-0.817769307687469,0.843189518435174,NA,0,1.75,1.027,0
"Nr1i3",0.694473012173226,-0.817769307687469,0.843189518435174,NA,0,1.75,1.027,0
"Rnase1",0.694473012173226,-0.817769307687469,0.843189518435174,NA,0,1.75,1.027,0
"Slc17a7",0.694473012173226,-0.817769307687469,0.843189518435174,NA,0,1.75,1.027,0
"Smad9",0.694473012173226,-0.817769307687469,0.843189518435174,NA,0,1.75,1.027,0
"Ttc30a1",12.8405653306536,-0.8178995736015,0.38642177147842,NA,20.617,12.253,6.164,12.327
"Scube3",6.76203558383702,-0.81796260966854,0.541171136575407,NA,2.291,14.879,5.137,4.741
