"Gene.name","baseMean","log2FoldChange","pvalue","padj"
"Mmp19",94.24841987739,3.96297375891998,2.72806634012972e-18,1.16350955364666e-16
"Slamf1",53.0283378231352,3.95637545111879,4.93459342650219e-11,1.10334656734716e-09
"Stat5a",3296.60017835585,3.90932399309815,4.58494191653086e-172,2.48343378908894e-168
"Zc3h12c",4514.3614739614,3.8660922942307,8.3974746831133e-147,3.03232810807221e-143
"Kif1a",135.866001142678,3.8318792328454,1.03493795764709e-23,6.02767897590911e-22
"Gdf15",18.4059548637158,3.76058798020237,0.000111636178154562,0.000885325562187681
"Bcl2l1",261.389541738296,3.75575425907266,1.48202259146373e-39,1.93430731726826e-37
"Rora",220.218662467012,3.71293807492677,4.33943726737325e-26,2.88399533235917e-24
"Nr4a3",4206.78038674788,3.67374422348804,6.07426611507546e-10,1.19640954226568e-08
"Nab2",479.601196578072,3.66149933232744,4.5440843782216e-56,1.26220682228909e-53
"Slc7a11",1129.98475550862,3.64966724583599,3.84952042921095e-17,1.45810681152595e-15
"Phldb1",238.111283198981,3.56496075772671,2.15357484622176e-30,1.82263096165003e-28
"Vdr",38.8456285221864,3.54377734600499,2.04065685097271e-07,2.8232995742768e-06
"Batf",672.400824392565,3.54335263772213,1.43932059447424e-51,3.1820734693754e-49
"Hivep3",1419.64847426323,3.54109255968434,2.54561934409466e-15,8.40752876663947e-14
"Cish",37.1028124095419,3.52179651406819,1.2156684737718e-07,1.75591154351599e-06
"Gadd45b",1982.58704057136,3.49898081745969,1.3372373747579e-87,9.65752832050158e-85
